atm file : ./atm_trans_0_1_10_0_0_0.dat
1.25 504 0.070758 0.849654
1.25 505 0.070449 0.850259
1.25 506 0.070141 0.850862
1.25 507 0.069855 0.851422
1.25 508 0.069551 0.852018
1.25 509 0.069243 0.852623
1.25 510 0.068935 0.853228
1.25 511 0.068631 0.853825
1.25 512 0.068359 0.85436
1.25 513 0.068065 0.854939
1.25 514 0.067784 0.855492
1.25 515 0.067476 0.856099
1.25 516 0.067193 0.856657
1.25 517 0.066918 0.8572
1.25 518 0.066661 0.857707
1.25 519 0.066354 0.858314
1.25 520 0.066086 0.858843
1.25 521 0.065804 0.859401
1.25 522 0.065529 0.859946
1.25 523 0.065272 0.860455
1.25 524 0.064996 0.861002
1.25 525 0.064752 0.861486
1.25 526 0.064508 0.86197
1.25 527 0.064205 0.862571
1.25 528 0.063929 0.86312
1.25 529 0.063686 0.863603
1.25 530 0.063442 0.864088
1.25 531 0.063183 0.864604
1.25 532 0.062925 0.865117
1.25 533 0.062651 0.865663
1.25 534 0.062407 0.86615
1.25 535 0.062119 0.866724
1.25 536 0.061875 0.867211
1.25 537 0.061632 0.867697
1.25 538 0.061344 0.868272
1.25 539 0.061101 0.868758
1.25 540 0.060843 0.869275
1.25 541 0.060617 0.869727
1.25 542 0.060387 0.870188
1.25 543 0.060129 0.870705
1.25 544 0.059856 0.871252
1.25 545 0.059626 0.871714
1.25 546 0.059401 0.872166
1.25 547 0.059144 0.872682
1.25 548 0.058901 0.87317
1.25 549 0.058654 0.873667
1.25 550 0.058431 0.874116
1.25 551 0.058247 0.874486
1.25 552 0.058068 0.874847
1.25 553 0.057876 0.875234
1.25 554 0.05769 0.875609
1.25 555 0.057488 0.876016
1.25 556 0.057311 0.876373
1.25 557 0.057135 0.876728
1.25 558 0.056948 0.877106
1.25 559 0.056764 0.877478
1.25 560 0.056606 0.877797
1.25 561 0.056525 0.877961
1.25 562 0.056711 0.877585
1.25 563 0.056429 0.878155
1.25 564 0.056631 0.877746
1.25 565 0.056429 0.878155
1.25 566 0.056747 0.877512
1.25 567 0.059325 0.872318
1.25 568 0.071573 0.848061
1.25 569 0.076773 0.837967
1.25 570 0.067209 0.856626
1.25 571 0.065214 0.86057
1.25 572 0.0696 0.851922
1.25 573 0.066104 0.858808
1.25 574 0.06819 0.854693
1.25 575 0.065819 0.859372
1.25 576 0.063224 0.864522
1.25 577 0.062053 0.866856
1.25 578 0.057753 0.875482
1.25 579 0.056271 0.878474
1.25 580 0.055953 0.879118
1.25 581 0.054914 0.881223
1.25 582 0.055125 0.880795
1.25 583 0.056147 0.878725
1.25 584 0.05657 0.87787
1.25 585 0.056588 0.877833
1.25 586 0.059984 0.870996
1.25 587 0.071908 0.847407
1.25 588 0.104417 0.78629
1.25 589 0.12294 0.75346
1.25 590 0.112519 0.771758
1.25 591 0.104879 0.785454
1.25 592 0.102568 0.789645
1.25 593 0.086495 0.819417
1.25 594 0.113206 0.770538
1.25 595 0.096401 0.800938
1.25 596 0.084513 0.823165
1.25 597 0.085231 0.821805
1.25 598 0.075802 0.839843
1.25 599 0.070551 0.850059
1.25 600 0.061911 0.86714
1.25 601 0.056867 0.877269
1.25 602 0.053225 0.884657
1.25 603 0.051293 0.888601
1.25 604 0.050276 0.890685
1.25 605 0.049442 0.892397
1.25 606 0.04912 0.893059
1.25 607 0.048875 0.893563
1.25 608 0.048707 0.893908
1.25 609 0.048508 0.894318
1.25 610 0.04835 0.894643
1.25 611 0.048193 0.894967
1.25 612 0.048035 0.895293
1.25 613 0.047889 0.895594
1.25 614 0.047742 0.895897
1.25 615 0.047563 0.896266
1.25 616 0.047427 0.896547
1.25 617 0.047259 0.896894
1.25 618 0.047134 0.897152
1.25 619 0.046969 0.897493
1.25 620 0.046819 0.897803
1.25 621 0.046672 0.898107
1.25 622 0.046526 0.898409
1.25 623 0.046379 0.898713
1.25 624 0.046232 0.899017
1.25 625 0.046201 0.899081
1.25 626 0.050283 0.89067
1.25 627 0.061492 0.867977
1.25 628 0.068879 0.853338
1.25 629 0.063451 0.86407
1.25 630 0.054731 0.881595
1.25 631 0.057926 0.875133
1.25 632 0.058795 0.873384
1.25 633 0.052431 0.886276
1.25 634 0.05281 0.885503
1.25 635 0.051967 0.887223
1.25 636 0.050746 0.889721
1.25 637 0.050157 0.890929
1.25 638 0.048203 0.894946
1.25 639 0.047511 0.896373
1.25 640 0.046861 0.897716
1.25 641 0.04661 0.898235
1.25 642 0.04728 0.89685
1.25 643 0.049442 0.892397
1.25 644 0.052157 0.886835
1.25 645 0.060366 0.87023
1.25 646 0.079016 0.83365
1.25 647 0.095476 0.802646
1.25 648 0.099202 0.795789
1.25 649 0.080798 0.830237
1.25 650 0.063259 0.864452
1.25 651 0.080039 0.831689
1.25 652 0.072012 0.847204
1.25 653 0.065312 0.860375
1.25 654 0.069757 0.851614
1.25 655 0.074831 0.841723
1.25 656 0.069698 0.85173
1.25 657 0.064731 0.861527
1.25 658 0.059262 0.872445
1.25 659 0.052794 0.885536
1.25 660 0.05062 0.889979
1.25 661 0.045521 0.90049
1.25 662 0.044328 0.902967
1.25 663 0.044344 0.902934
1.25 664 0.044015 0.903618
1.25 665 0.04262 0.906525
1.25 666 0.042261 0.907275
1.25 667 0.041187 0.909522
1.25 668 0.040593 0.910766
1.25 669 0.040223 0.911543
1.25 670 0.04001 0.91199
1.25 671 0.039807 0.912416
1.25 672 0.039656 0.912734
1.25 673 0.039521 0.913017
1.25 674 0.039406 0.913259
1.25 675 0.039287 0.913509
1.25 676 0.039235 0.913619
1.25 677 0.039074 0.913957
1.25 678 0.039027 0.914056
1.25 679 0.039287 0.913509
1.25 680 0.040197 0.911597
1.25 681 0.041161 0.909576
1.25 682 0.041656 0.90854
1.25 683 0.04201 0.9078
1.25 684 0.043508 0.904674
1.25 685 0.042829 0.906089
1.25 686 0.060839 0.869283
1.25 687 0.139078 0.725976
1.25 688 0.09475 0.803989
1.25 689 0.103196 0.788504
1.25 690 0.086811 0.818821
1.25 691 0.076854 0.837811
1.25 692 0.090116 0.812613
1.25 693 0.127061 0.746344
1.25 694 0.137511 0.7286
1.25 695 0.129027 0.742973
1.25 696 0.095878 0.801903
1.25 697 0.07155 0.848106
1.25 698 0.096043 0.801599
1.25 699 0.126272 0.747701
1.25 700 0.123553 0.752397
1.25 701 0.127521 0.745554
1.25 702 0.116377 0.764932
1.25 703 0.079233 0.833234
1.25 704 0.089651 0.813484
1.25 705 0.101894 0.790872
1.25 706 0.094805 0.803887
1.25 707 0.092856 0.807503
1.25 708 0.079314 0.833079
1.25 709 0.079936 0.831886
1.25 710 0.085422 0.821444
1.25 711 0.069457 0.852203
1.25 712 0.067316 0.856414
1.25 713 0.075505 0.840417
1.25 714 0.083463 0.825158
1.25 715 0.09563 0.802361
1.25 716 0.139348 0.725524
1.25 717 0.247628 0.565421
1.25 718 0.285984 0.517626
1.25 719 0.324484 0.473714
1.25 720 0.282263 0.52208
1.25 721 0.159817 0.692123
1.25 722 0.129824 0.741611
1.25 723 0.208778 0.618332
1.25 724 0.243506 0.570813
1.25 725 0.235121 0.581941
1.25 726 0.237581 0.578654
1.25 727 0.245389 0.568344
1.25 728 0.210135 0.616403
1.25 729 0.220273 0.602181
1.25 730 0.21592 0.608247
1.25 731 0.204649 0.624239
1.25 732 0.136106 0.730961
1.25 733 0.106444 0.782629
1.25 734 0.091348 0.810311
1.25 735 0.105027 0.785187
1.25 736 0.116 0.765597
1.25 737 0.09519 0.803175
1.25 738 0.085122 0.822012
1.25 739 0.07591 0.839634
1.25 740 0.06106 0.86884
1.25 741 0.055116 0.880814
1.25 742 0.050846 0.889516
1.25 743 0.042838 0.906071
1.25 744 0.040431 0.911106
1.25 745 0.037702 0.916849
1.25 746 0.036284 0.919848
1.25 747 0.035627 0.92124
1.25 748 0.034384 0.923881
1.25 749 0.034074 0.924541
1.25 750 0.034971 0.922633
1.25 751 0.0341 0.924485
1.25 752 0.033212 0.926378
1.25 753 0.032859 0.927131
1.25 754 0.032661 0.927554
1.25 755 0.032627 0.927626
1.25 756 0.032523 0.927848
1.25 757 0.03273 0.927406
1.25 758 0.037494 0.917289
1.25 759 0.192827 0.641465
1.25 760 0.596928 0.252972
1.25 761 0.417108 0.38273
1.25 762 0.281877 0.522544
1.25 763 0.341294 0.455728
1.25 764 0.26801 0.539498
1.25 765 0.17623 0.666454
1.25 766 0.110075 0.776113
1.25 767 0.075838 0.839773
1.25 768 0.053559 0.883977
1.25 769 0.042177 0.907451
1.25 770 0.03618 0.920068
1.25 771 0.033298 0.926194
1.25 772 0.032695 0.927481
1.25 773 0.032265 0.9284
1.25 774 0.031904 0.929172
1.25 775 0.031628 0.929762
1.25 776 0.031456 0.930131
1.25 777 0.031697 0.929615
1.25 778 0.031766 0.929467
1.25 779 0.032041 0.928879
1.25 780 0.031878 0.929227
1.25 781 0.031525 0.929983
1.25 782 0.031766 0.929467
1.25 783 0.032007 0.928951
1.25 784 0.033893 0.924926
1.25 785 0.037217 0.917874
1.25 786 0.045555 0.90042
1.25 787 0.055055 0.880937
1.25 788 0.06606 0.858895
1.25 789 0.084034 0.824074
1.25 790 0.080271 0.831245
1.25 791 0.076989 0.83755
1.25 792 0.072714 0.845836
1.25 793 0.057232 0.876532
1.25 794 0.050171 0.8909
1.25 795 0.068957 0.853185
1.25 796 0.091677 0.809698
1.25 797 0.071997 0.847233
1.25 798 0.063615 0.863744
1.25 799 0.069422 0.852272
1.25 800 0.081047 0.829761
1.25 801 0.079476 0.832768
1.25 802 0.082585 0.826828
1.25 803 0.076521 0.838454
1.25 804 0.070387 0.85038
1.25 805 0.0565 0.878011
1.25 806 0.052522 0.88609
1.25 807 0.052979 0.885158
1.25 808 0.058583 0.87381
1.25 809 0.064112 0.862756
1.25 810 0.071245 0.848702
1.25 811 0.086721 0.818991
1.25 812 0.102808 0.789209
1.25 813 0.129236 0.742615
1.25 814 0.153122 0.702875
1.25 815 0.193059 0.641122
1.25 816 0.221936 0.599879
1.25 817 0.217037 0.606685
1.25 818 0.209796 0.616885
1.25 819 0.186972 0.650172
1.25 820 0.129653 0.741903
1.25 821 0.106287 0.782912
1.25 822 0.180204 0.660383
1.25 823 0.23606 0.580684
1.25 824 0.129653 0.741903
1.25 825 0.101332 0.791896
1.25 826 0.108922 0.778176
1.25 827 0.131781 0.738276
1.25 828 0.152763 0.703456
1.25 829 0.134904 0.732987
1.25 830 0.122055 0.754997
1.25 831 0.122017 0.755063
1.25 832 0.115112 0.767164
1.25 833 0.108086 0.779676
1.25 834 0.090107 0.81263
1.25 835 0.079296 0.833113
1.25 836 0.086866 0.818717
1.25 837 0.083309 0.82545
1.25 838 0.075478 0.84047
1.25 839 0.068779 0.853534
1.25 840 0.069029 0.853043
1.25 841 0.072893 0.845487
1.25 842 0.061875 0.867211
1.25 843 0.050802 0.889607
1.25 844 0.046149 0.899189
1.25 845 0.043586 0.904511
1.25 846 0.039885 0.912252
1.25 847 0.03881 0.914513
1.25 848 0.043917 0.903822
1.25 849 0.04336 0.904982
1.25 850 0.047039 0.897348
1.25 851 0.050627 0.889965
1.25 852 0.046568 0.898322
1.25 853 0.043847 0.903968
1.25 854 0.043377 0.904947
1.25 855 0.039469 0.913127
1.25 856 0.034453 0.923734
1.25 857 0.033143 0.926525
1.25 858 0.030872 0.931382
1.25 859 0.028708 0.936035
1.25 860 0.02768 0.938253
1.25 861 0.027525 0.938588
1.25 862 0.02696 0.93981
1.25 863 0.026892 0.939957
1.25 864 0.026447 0.940921
1.25 865 0.026173 0.941514
1.25 866 0.026173 0.941514
1.25 867 0.026241 0.941367
1.25 868 0.026207 0.941441
1.25 869 0.026173 0.941514
1.25 870 0.026241 0.941367
1.25 871 0.02607 0.941738
1.25 872 0.026002 0.941885
1.25 873 0.026344 0.941144
1.25 874 0.026447 0.940921
1.25 875 0.026652 0.940477
1.25 876 0.027268 0.939144
1.25 877 0.027885 0.93781
1.25 878 0.029377 0.934594
1.25 879 0.029806 0.933671
1.25 880 0.031284 0.930499
1.25 881 0.03242 0.928068
1.25 882 0.032781 0.927297
1.25 883 0.032317 0.928289
1.25 884 0.032385 0.928143
1.25 885 0.036508 0.919374
1.25 886 0.038256 0.915681
1.25 887 0.035938 0.920581
1.25 888 0.035904 0.920653
1.25 889 0.036197 0.920032
1.25 890 0.040128 0.911742
1.25 891 0.045782 0.899949
1.25 892 0.065677 0.859653
1.25 893 0.096015 0.80165
1.25 894 0.126508 0.747295
1.25 895 0.182482 0.656928
1.25 896 0.245773 0.567841
1.25 897 0.282363 0.52196
1.25 898 0.327301 0.470651
1.25 899 0.376368 0.42037
1.25 900 0.374257 0.422419
1.25 901 0.392894 0.404675
1.25 902 0.350504 0.446166
1.25 903 0.230357 0.58836
1.25 904 0.175147 0.668118
1.25 905 0.191282 0.643751
1.25 906 0.252122 0.5596
1.25 907 0.344041 0.452855
1.25 908 0.371064 0.425536
1.25 909 0.376829 0.419924
1.25 910 0.354677 0.441899
1.25 911 0.319654 0.479012
1.25 912 0.362262 0.434248
1.25 913 0.417108 0.38273
1.25 914 0.361305 0.435206
1.25 915 0.355176 0.441392
1.25 916 0.340802 0.456245
1.25 917 0.330265 0.46745
1.25 918 0.290486 0.512288
1.25 919 0.209487 0.617324
1.25 920 0.183202 0.65584
1.25 921 0.191827 0.642944
1.25 922 0.189185 0.646867
1.25 923 0.216292 0.607726
1.25 924 0.244686 0.569264
1.25 925 0.240671 0.574552
1.25 926 0.254828 0.556124
1.25 927 0.312316 0.487174
1.25 928 0.395465 0.402286
1.25 929 0.510992 0.308324
1.25 930 0.664463 0.216539
1.25 931 0.881004 0.131521
1.25 932 1.09363 0.0806074
1.25 933 1.32088 0.047766
1.25 934 1.54061 0.0287997
1.25 935 1.49984 0.0316347
1.25 936 1.44413 0.0359638
1.25 937 1.38131 0.0415617
1.25 938 0.972861 0.106448
1.25 939 0.615908 0.242154
1.25 940 0.581606 0.262056
1.25 941 0.668162 0.214703
1.25 942 0.888513 0.129267
1.25 943 1.07192 0.084738
1.25 944 1.06479 0.0861408
1.25 945 0.996417 0.100828
1.25 946 0.952523 0.111552
1.25 947 0.860265 0.137954
1.25 948 0.830457 0.147755
1.25 949 0.855313 0.139536
1.25 950 0.792305 0.161323
1.25 951 0.733553 0.184692
1.25 952 0.814637 0.153237
1.25 953 0.700071 0.199494
1.25 954 0.676192 0.21077
1.25 955 0.737204 0.183145
1.25 956 0.664301 0.21662
1.25 957 0.503685 0.313556
1.25 958 0.496101 0.31908
1.25 959 0.537512 0.29006
1.25 960 0.539911 0.288462
1.25 961 0.553907 0.279314
1.25 962 0.506944 0.311212
1.25 963 0.426944 0.374159
1.25 964 0.412867 0.386485
1.25 965 0.421518 0.378863
1.25 966 0.402794 0.395554
1.25 967 0.308565 0.4914
1.25 968 0.204076 0.625063
1.25 969 0.177453 0.66458
1.25 970 0.175068 0.668239
1.25 971 0.182002 0.657655
1.25 972 0.201321 0.629041
1.25 973 0.235596 0.581305
1.25 974 0.271743 0.534881
1.25 975 0.284022 0.51997
1.25 976 0.245901 0.567674
1.25 977 0.204076 0.625063
1.25 978 0.209672 0.617061
1.25 979 0.181582 0.658291
1.25 980 0.139894 0.724613
1.25 981 0.138171 0.727493
1.25 982 0.141391 0.722119
1.25 983 0.111882 0.772891
1.25 984 0.089542 0.813688
1.25 985 0.073216 0.844859
1.25 986 0.057153 0.876692
1.25 987 0.051925 0.887309
1.25 988 0.049505 0.892267
1.25 989 0.047773 0.895833
1.25 990 0.04505 0.901467
1.25 991 0.039677 0.912689
1.25 992 0.037962 0.916301
1.25 993 0.035575 0.921351
1.25 994 0.030253 0.932711
1.25 995 0.027217 0.939254
1.25 996 0.027423 0.938808
1.25 997 0.03015 0.932932
1.25 998 0.03335 0.926083
1.25 999 0.034074 0.924541
