atm file : ./atm_trans_0_1_10_0_0_0.dat
0.85 653 0.049689 0.891889
0.85 654 0.053359 0.884384
0.85 655 0.057523 0.875945
0.85 656 0.053374 0.884354
0.85 657 0.049295 0.892699
0.85 658 0.044788 0.902011
0.85 659 0.039547 0.912963
0.85 660 0.037785 0.916674
0.85 661 0.033608 0.925533
0.85 662 0.032647 0.927583
0.85 663 0.032678 0.927517
0.85 664 0.032441 0.928024
0.85 665 0.03131 0.930443
0.85 666 0.030995 0.931119
0.85 667 0.030176 0.932876
0.85 668 0.029655 0.933996
0.85 669 0.029403 0.934538
0.85 670 0.029243 0.934882
0.85 671 0.029068 0.935259
0.85 672 0.028976 0.935457
0.85 673 0.028888 0.935647
0.85 674 0.02879 0.935858
0.85 675 0.028708 0.936035
0.85 676 0.028682 0.936091
0.85 677 0.028544 0.936388
0.85 678 0.028502 0.936479
0.85 679 0.028785 0.935869
0.85 680 0.029532 0.934261
0.85 681 0.030305 0.932599
0.85 682 0.030769 0.931603
0.85 683 0.031078 0.930941
0.85 684 0.032368 0.92818
0.85 685 0.0318 0.929394
0.85 686 0.046515 0.898432
0.85 687 0.11044 0.775461
0.85 688 0.074239 0.842871
0.85 689 0.081129 0.829604
0.85 690 0.067797 0.855466
0.85 691 0.05975 0.871465
0.85 692 0.070905 0.849366
0.85 693 0.101701 0.791223
0.85 694 0.110429 0.775481
0.85 695 0.10339 0.788152
0.85 696 0.075883 0.839686
0.85 697 0.055698 0.879634
0.85 698 0.076098 0.839271
0.85 699 0.10123 0.792082
0.85 700 0.098964 0.796225
0.85 701 0.102282 0.790165
0.85 702 0.093059 0.807125
0.85 703 0.062195 0.866573
0.85 704 0.070825 0.849523
0.85 705 0.081102 0.829656
0.85 706 0.075209 0.84099
0.85 707 0.073566 0.844178
0.85 708 0.062328 0.866307
0.85 709 0.062833 0.865301
0.85 710 0.067449 0.856152
0.85 711 0.054192 0.88269
0.85 712 0.052417 0.886305
0.85 713 0.059193 0.872584
0.85 714 0.065819 0.859372
0.85 715 0.075856 0.839738
0.85 716 0.11205 0.772592
0.85 717 0.201841 0.628288
0.85 718 0.233541 0.584062
0.85 719 0.265464 0.54267
0.85 720 0.23064 0.587977
0.85 721 0.128743 0.743459
0.85 722 0.103889 0.787247
0.85 723 0.169632 0.676656
0.85 724 0.19839 0.633301
0.85 725 0.191433 0.643527
0.85 726 0.193463 0.640526
0.85 727 0.200007 0.630947
0.85 728 0.170788 0.674857
0.85 729 0.179276 0.661796
0.85 730 0.175753 0.667186
0.85 731 0.166448 0.681635
0.85 732 0.109564 0.777027
0.85 733 0.084986 0.822269
0.85 734 0.072463 0.846325
0.85 735 0.083871 0.824383
0.85 736 0.09302 0.807198
0.85 737 0.07573 0.839982
0.85 738 0.067396 0.856257
0.85 739 0.05975 0.871465
0.85 740 0.047406 0.89659
0.85 741 0.04249 0.906797
0.85 742 0.038975 0.914166
0.85 743 0.032317 0.928289
0.85 744 0.030305 0.932599
0.85 745 0.028065 0.937422
0.85 746 0.026892 0.939957
0.85 747 0.026344 0.941144
0.85 748 0.025318 0.94337
0.85 749 0.025087 0.943872
0.85 750 0.025865 0.942182
0.85 751 0.025113 0.943815
0.85 752 0.024395 0.945377
0.85 753 0.024088 0.946045
0.85 754 0.023985 0.94627
0.85 755 0.023934 0.946381
0.85 756 0.023883 0.946492
0.85 757 0.024011 0.946213
0.85 758 0.027919 0.937737
0.85 759 0.155748 0.698638
0.85 760 0.485266 0.32714
0.85 761 0.339046 0.458093
0.85 762 0.227612 0.59209
0.85 763 0.276215 0.529401
0.85 764 0.216375 0.60761
0.85 765 0.141391 0.722119
0.85 766 0.087266 0.817964
0.85 767 0.05929 0.872389
0.85 768 0.041108 0.909687
0.85 769 0.0318 0.929394
0.85 770 0.026892 0.939957
0.85 771 0.0246 0.944931
0.85 772 0.024088 0.946045
0.85 773 0.023729 0.946828
0.85 774 0.023473 0.947386
0.85 775 0.023235 0.947905
0.85 776 0.023098 0.948204
0.85 777 0.023294 0.947777
0.85 778 0.023405 0.947534
0.85 779 0.02361 0.947087
0.85 780 0.023473 0.947386
0.85 781 0.0232 0.947982
0.85 782 0.023405 0.947534
0.85 783 0.023576 0.947161
0.85 784 0.02519 0.943648
0.85 785 0.027988 0.937588
0.85 786 0.034937 0.922705
0.85 787 0.042908 0.905924
0.85 788 0.052162 0.886825
0.85 789 0.067209 0.856626
0.85 790 0.064005 0.862969
0.85 791 0.061308 0.868344
0.85 792 0.0577 0.875588
0.85 793 0.044788 0.902011
0.85 794 0.038845 0.91444
0.85 795 0.054597 0.881867
0.85 796 0.073611 0.84409
0.85 797 0.057205 0.876587
0.85 798 0.050101 0.891044
0.85 799 0.054984 0.881081
0.85 800 0.064752 0.861486
0.85 801 0.063472 0.864028
0.85 802 0.066104 0.858808
0.85 803 0.060989 0.868982
0.85 804 0.0559 0.879225
0.85 805 0.044231 0.903169
0.85 806 0.040961 0.909995
0.85 807 0.041343 0.909195
0.85 808 0.046009 0.899479
0.85 809 0.050627 0.889965
0.85 810 0.05657 0.87787
0.85 811 0.069529 0.852062
0.85 812 0.082947 0.826139
0.85 813 0.105064 0.78512
0.85 814 0.124912 0.750046
0.85 815 0.158332 0.694493
0.85 816 0.182442 0.656989
0.85 817 0.17829 0.6633
0.85 818 0.172272 0.672555
0.85 819 0.15319 0.702765
0.85 820 0.105286 0.784719
0.85 821 0.085631 0.821049
0.85 822 0.14765 0.711787
0.85 823 0.194435 0.639094
0.85 824 0.105286 0.784719
0.85 825 0.081608 0.82869
0.85 826 0.087994 0.816594
0.85 827 0.107177 0.781309
0.85 828 0.124732 0.750357
0.85 829 0.109778 0.776644
0.85 830 0.099084 0.796005
0.85 831 0.099047 0.796073
0.85 832 0.093322 0.806637
0.85 833 0.087521 0.817484
0.85 834 0.072499 0.846255
0.85 835 0.063508 0.863957
0.85 836 0.06985 0.851432
0.85 837 0.066888 0.857259
0.85 838 0.060352 0.870258
0.85 839 0.054738 0.881581
0.85 840 0.054984 0.881081
0.85 841 0.05823 0.874521
0.85 842 0.048945 0.893419
0.85 843 0.039677 0.912689
0.85 844 0.035834 0.920801
0.85 845 0.03366 0.925422
0.85 846 0.030597 0.931972
0.85 847 0.029703 0.933893
0.85 848 0.034005 0.924688
0.85 849 0.033557 0.925642
0.85 850 0.036612 0.919153
0.85 851 0.039677 0.912689
0.85 852 0.036249 0.919922
0.85 853 0.033936 0.924834
0.85 854 0.033608 0.925533
0.85 855 0.030322 0.932563
0.85 856 0.02607 0.941738
0.85 857 0.025061 0.943928
0.85 858 0.023166 0.948056
0.85 859 0.02136 0.952007
0.85 860 0.020475 0.953949
0.85 861 0.020356 0.95421
0.85 862 0.019897 0.955219
0.85 863 0.019863 0.955294
0.85 864 0.019489 0.956117
0.85 865 0.019251 0.956641
0.85 866 0.019217 0.956716
0.85 867 0.019285 0.956566
0.85 868 0.019285 0.956566
0.85 869 0.019285 0.956566
0.85 870 0.019387 0.956341
0.85 871 0.019183 0.956791
0.85 872 0.019115 0.956941
0.85 873 0.019489 0.956117
0.85 874 0.019557 0.955967
0.85 875 0.019693 0.955668
0.85 876 0.020203 0.954546
0.85 877 0.020781 0.953277
0.85 878 0.02199 0.950627
0.85 879 0.022382 0.949769
0.85 880 0.023678 0.946939
0.85 881 0.024634 0.944857
0.85 882 0.024959 0.94415
0.85 883 0.024498 0.945153
0.85 884 0.0246 0.944931
0.85 885 0.028039 0.937478
0.85 886 0.029566 0.934187
0.85 887 0.027628 0.938365
0.85 888 0.027577 0.938476
0.85 889 0.027834 0.93792
0.85 890 0.031112 0.930868
0.85 891 0.035834 0.920801
0.85 892 0.052628 0.885874
0.85 893 0.078124 0.835364
0.85 894 0.103732 0.787532
0.85 895 0.150823 0.706605
0.85 896 0.204076 0.625063
0.85 897 0.234647 0.582577
0.85 898 0.272465 0.533992
0.85 899 0.313684 0.485642
0.85 900 0.311884 0.487659
0.85 901 0.32774 0.470176
0.85 902 0.292181 0.510292
0.85 903 0.190797 0.64447
0.85 904 0.144217 0.717436
0.85 905 0.157883 0.695212
0.85 906 0.209364 0.617499
0.85 907 0.286927 0.516503
0.85 908 0.309587 0.490245
0.85 909 0.314391 0.484852
0.85 910 0.295781 0.50608
0.85 911 0.266095 0.541882
0.85 912 0.302254 0.498593
0.85 913 0.348636 0.448089
0.85 914 0.301466 0.499498
0.85 915 0.296319 0.505453
0.85 916 0.284221 0.519731
0.85 917 0.275578 0.530178
0.85 918 0.242072 0.572701
0.85 919 0.173719 0.670318
0.85 920 0.151637 0.705282
0.85 921 0.158996 0.693432
0.85 922 0.156771 0.696994
0.85 923 0.179605 0.661295
0.85 924 0.203463 0.625946
0.85 925 0.199915 0.631081
0.85 926 0.211462 0.614523
0.85 927 0.259548 0.550113
0.85 928 0.328689 0.469149
0.85 929 0.424571 0.376209
0.85 930 0.552603 0.280154
0.85 931 0.733275 0.18481
0.85 932 0.909688 0.123115
0.85 933 1.09991 0.0794487
0.85 934 1.28428 0.0519662
0.85 935 1.24862 0.0564128
0.85 936 1.20214 0.0627854
0.85 937 1.15091 0.070647
0.85 938 0.809232 0.155156
0.85 939 0.507498 0.310815
0.85 940 0.478843 0.332014
0.85 941 0.552429 0.280266
0.85 942 0.738703 0.182514
0.85 943 0.892574 0.128064
0.85 944 0.886247 0.129943
0.85 945 0.828623 0.148381
0.85 946 0.792231 0.16135
0.85 947 0.714779 0.192851
0.85 948 0.690052 0.204149
0.85 949 0.711617 0.19426
0.85 950 0.658553 0.219506
0.85 951 0.609542 0.24573
0.85 952 0.678653 0.209579
0.85 953 0.582769 0.261355
0.85 954 0.563084 0.273474
0.85 955 0.615168 0.242567
0.85 956 0.554429 0.278979
0.85 957 0.419158 0.380927
0.85 958 0.41317 0.386216
0.85 959 0.448634 0.355931
0.85 960 0.450986 0.354009
0.85 961 0.463147 0.344233
0.85 962 0.423833 0.376849
0.85 963 0.356389 0.44016
0.85 964 0.344676 0.452193
0.85 965 0.352256 0.444369
0.85 966 0.336662 0.460615
0.85 967 0.257347 0.552908
0.85 968 0.169168 0.677379
